source,url,title,ingredients,instructions
nosalty,https://www.nosalty.hu/recept/szerelmes-level-medeatol,Szerelmes levél Medeától,"[""1 dl Tej langyos"", ""1 ek Cukor"", ""0 tasak Instant élesztő"", ""25 dkg Finomliszt"", ""1 csomag Vaníliás cukor"", ""1 csipet Só"", ""5 dkg Vaj olvasztott"", ""1 db Tojássárgája"", ""1 ek Tejföl"", ""3 dkg Vaj olvasztott"", ""10 dkg Meggylekvár vagy házi szilvalekvár"", ""1 db Tojásfehérje"", ""1 dkg Porcukor""]","[""A langyosra melegített tejben keverjük el az egy evőkanálnyi cukrot, és szórjuk bele a porélesztőt."", ""Egy másik tálba szitáljuk bele a lisztet, keverjük el a vaníliás cukorral és a csipetnyi sóval. Ezután adjuk hozzá a vajat, a tojássárgáját, az élesztős tejet és a szobahőmérsékletű tejfölt. Gyúrjunk ruganyos, könnyen formázható tésztát, ha kell, pótoljuk a folyadékot."", ""Lisztezett munkafelületen legalább öt percig dagasszuk a tésztát. Kelesszük kb. 1 óra alatt a duplájára."", ""Ezután nyújtsuk ki és kenjük meg az olvasztott vaj felével. A tésztát hajtsuk meg, és ismételjük meg a kenési folyamatot. Majd nyújtsuk ki kb. 1 cm-esre a tésztát és vágjuk fel egyenlő négyzetekre. Minden tésztadarab alsó részére tegyünk egy teáskanálnyi lekvárt."", ""A tészta másik végét hajtsuk rá (ha szeretnénk villával nyomkodjuk le… ez nem jelenti, hogy a táskák zártak maradnak. Nálam is felnyíltak sütés közben, de ez nem baj, mert szeretem, ha tálaláskor kikandikál a lekvár… :) ), tegyük sütőpapíros tepsire."", ""Rakjuk 6-8 órára a hűtőbe, másnap kenjük meg mindegyik tetejét felvert tojásfehérjével, és 180 fokra előmelegített sütőben 20 perc alatt süssük készre. A langyos „szerelmes leveleket” szórjuk meg porcukorral, és így tálaljuk.""]"
nosalty,https://www.nosalty.hu/recept/paleo-kifli-zsomle,Paleo kifli vagy zsömle,"[""10 dkg Lenmag"", ""8 dkg Kókuszreszelék"", ""8 dkg Kókuszliszt"", ""2 dkg Napraforgómag"", ""4 dl Növényi tej"", ""5 dkg Tepertő apróra vágva"", ""2 ek Disznózsír"", ""1 teáskanál Szódabikarbóna"", ""1 teáskanál Ecet"", ""1 csipet Aszkorbinsav antioxidáns, hogy ne zöldüljön meg a napraforgó"", ""1 teáskanál Só"", ""3 ek Útifűmaghéj"", ""2 dl Víz""]","[""A darálni való magokat kávédarálóban liszt finomságúra őröljük, összekeverjük a többi száraz összetevővel (fűszerek, aszkorbinsav)."", ""A szódabikarbónát elkeverjük kb. 2 dl vízben, majd az ecettel felfuttatjuk! Ezt is hozzáadjuk a lisztekhez, és elkezdjük gyúrni a tésztát. Lassan adagolva hozzátesszük a tejet, az apróra vágott tepertőt és a disznózsírt."", ""Pihentetjük kb. 20 percig. Ez fontos, ez idő alatt szívják meg nedvességgel magukat az összetevők."", ""Nedves kezünk közé veszünk egy adag tésztát, hosszúkás, hengeres formát alakítunk ki két tenyerünk között, majd kifli formájúra alakítjuk. Értelemszerűen zsömlénél gömböt formázunk."", ""Az elkészült nyers kifliket sütőpapírral kibélelt tepsire rakjuk, hagyjuk helyet közöttük, mert ezek ugyanúgy össze tudnak nőni, mint a kelt tészta! 200 °C-ra előmelegített sütőben süssük 45 percig alsó-felső sütéssel, majd hőlégkeveréssel további 5 percig, így szép barna kérge is lesz!""]"
nosalty,https://www.nosalty.hu/recept/husveti-nyuszi-pogacsa,Húsvéti nyuszi pogácsa,"[""300 g Finomliszt finom"", ""250 g Vaj puha"", ""6 ek Víz"", ""1 ek Ecet"", ""1 tk Só"", ""8 dkg Trappista sajt vagy Edami sajt"", ""1 db Tojás"", ""0 ízlés szerint Só nagy szemű"", ""1 teáskanál Tökmag"", ""1 teáskanál Lenmag"", ""1 teáskanál Szezámmag""]","[""A hozzávalókat jól összegyúrjuk, alufóliába csomagoljuk, éjszakára hűtőbe tesszük."", ""Másnap kivesszük, hagyjuk kicsit kiengedni. Vékonyra nyújtjuk."", ""Feles pohárral kiszaggatjuk a nyuszkók fejét, gyűszűvel a pofikát. A füleit kézben formázzuk."", ""Villával felvert tojással \""összeragasztjuk\"" a darabkákat."", ""Lekenjük a nyuszikat, majd fogainak 2 db nagy szemű sót, szemének félbevágott tökmagokat, orrának egy szem lenmagot teszünk. Végül a pofikákba 3-3 szezámmagot nyomunk."", ""Sütőpapírral bélelt sütőlemezre tesszük őket. 180°C-ra előmelegített sütőben világos-aranybarnára sütjük.""]"
nosalty,https://www.nosalty.hu/recept/mogyoros-csokis-haromszogek,Mogyorós-csokis háromszögek,"[""30 dkg Finomliszt"", ""20 dkg Margarin"", ""10 dkg Porcukor"", ""nagy 1 db Tojássárgája"", ""0 csomag Sütőpor"", ""1 csipet Só"", ""sótlan 30 dkg Földimogyoró"", ""7 dkg Cukor"", ""7 dkg Vaj"", ""1 csipet Só"", ""2 ek Méz"", ""3 ek Víz"", ""20 dkg Étcsokoládé""]","[""Elkészítjük a tésztát. Ehhez összekeverjük a lisztet a sütőporral, majd hozzáadjuk a porcukrot, a sót."", ""Összemorzsoljuk a margarinnal és végül elvegyítjük benne a tojássárgáját."", ""A tésztát fóliába csomagoljuk és legalább fél órára hűtőbe tesszük, de nyugodtan maradhat akár egy éjszakára is."", ""Közben előmelegítjük a sütőt, kibélelünk egy 30 x 40 cm -es tepsit sütőpapírral."", ""Elkészíthetjük a mogyorós masszát. A mogyorót apró darabokra vágjuk, vagy daráljuk. Nem gond, ha erre nincs lehetőség, legfelejebb nagyobb méretű sütiket gyártunk később."", ""A massza többi hozzávalóját (cukor, vaj, só, méz) a vízzel felforraljuk. Ha felforrt levesszük a tűzről és belekeverjük a mogyorót. Hagyjuk kihűlni."", ""Összeállítjuk a sütit: a tésztát kivesszük a hűtőből és egyenletes vastagságban a tepsi aljába nyomogatjuk."", ""Villával megszúrkáljuk pár helyen, ezután rákanalazzuk a mogyorós masszát, szintén egyenletesen elosztva."", ""Az előmelegített sütőben kb. 10-15 percig kell sütni."", ""Ha kész, hagyjuk kicsit hűlni, de még langyosan kis négyztekre, majd azokat - átlósan felezve - háromszögekre vágjuk."", ""Ha teljesen kihűltek, olvasztott csokiba mártogatjuk az egyik oldalukat."", ""Mivel linzer tészta az alapja, jót tesz neki, ha áll egy éjszakát zárt dobozban, vagy fóliával letakarva.""]"
nosalty,https://www.nosalty.hu/recept/bogres-almas,Bögrés almás,"[""2 bögre Rétesliszt"", ""1 bögre Zabpehely"", ""2 bögre Cukor"", ""2 dl Tej 1 bögre"", ""1 dl Napraforgó olaj 1/2 bögre"", ""5 közepes db Alma"", ""1 csomag Vaníliás cukor"", ""1 csomag Sütőpor"", ""2 db Tojás"", ""1 kávéskanál Fahéj ízlés szerint""]","[""Az almát meghámozzuk, nagy lukú reszelőn lereszeljük, és fokozatosan hozzáadjuk a kimért alapanyagokat."", ""Összekeverjük, kizsírozott tepsibe elsimítjuk, és szép aranybarnára sütjük. (Én citromos mázzal vontam be, de elég megporcukrozva tálalni.)""]"
nosalty,https://www.nosalty.hu/recept/sajtkremes-almatorony-villamsutin,Sajtkrémes almatorony villámsütin,"[""2 csapott ek Diabetikus liszt csökkentett szénhidráttartalmú liszt"", ""2 csapott ek Graham-liszt"", ""1 ek Xilit"", ""1 ek Cukrozatlan kakaópor"", ""1 kk Sütőpor"", ""4 ek Tej"", ""2 ek Napraforgó olaj"", ""1 db Tojás"", ""20 dkg Mascarpone"", ""1 marék Dió"", ""0 ek Xilit"", ""3 db Alma""]","[""Az almákat meghámozzuk, félbevágjuk és óvatosan, hogy ne törjenek el, kivágjuk a magházukat. Muffinformába tesszük a fél-almákat, és 180 fokos előmelegített sütőben kb. 15-20 perc alatt félpuhára sütjük őket. Akkor jó, ha még egyben kijönnek, de már nem kemények. (Nem feltétlenül kell muffinforma, sima tepsiben is jó, csak az öblös formákba helyezve szépen megmarad az alma formája.)"", ""Míg az alma sül, a diót apróra törjük (aprítógéppel, vagy akár mozsárban), és a cukorral együtt a sajthoz keverjük. Lazító anyagként egy-két ek tejszínt vagy tejet adhatunk hozzá, hogy könnyebb legyen keverni. Vigyázzunk, hogy ne legyen folyós!"", ""A villámsütihez minden alapanyagot összeöntünk és kézi habverővel csomómentesre keverjük. (Én nem túl édesen szeretem, ha úgy érezzük, tehetünk bele plusz fél kanál cukrot.)"", ""Egy legalább 3 dl-es bögrébe töltjük a masszát, és 3 percre berakjuk a mikrohullámú sütőbe, a legnagyobb fokozatra. (Ne ijedjünk meg, mikor elkezd feljönni, nem fog kifutni.)"", ""Miután kivettük, még néhány percig várjunk, majd óvatosan körbevágva a bögre pereme mentén kiboríthatjuk. A henger alakú sütiből 6 kis korongot szeletelünk."", ""A korongra kis halomba teszünk a krémből, majd óvatosan kiemelve, az almát ráfordítjuk a tetejére. Ha marad krém, még a csúcsára tehetünk pluszban.""]"
nosalty,https://www.nosalty.hu/recept/csicseriborsos-babos-paradicsomszosz,Csicseriborsós-babos paradicsomszósz,"[""2 ek Kacsazsír"", ""2 közepes fej Főzőhagyma"", ""2 gerezd Fokhagyma"", ""0 ízlés szerint Só"", ""800 g Fehérbab konzerv"", ""800 g Vörösbab konzerv"", ""540 g Csicseriborsó konzerv"", ""1200 g Konzerv paradicsom oregánós-bazsalikomos, darabolt"", ""20 dkg Bacon"", ""0 ízlés szerint Bors őrölt"", ""30 dkg Pulykamellsonka vagy csirkefelvágott, egészben"", ""2 teáskanál Cukor"", ""200 g Habtejszín 30 %-os"", ""5 dkg Vaj"", ""750 g Tészta conchiglie"", ""0 ízlés szerint Só"", ""1 ek Napraforgó olaj"", ""375 g Mozzarella felkockázott"", ""10 dkg Trappista sajt reszelt""]","[""A kacsazsíron a kétféle hagymát kevés sóval fedő alatt puhára pároljuk, majd beletesszük a felcsíkozott bacont, kicsit pirítjuk."", ""Beletesszük a csicseriborsót, a kétféle konzerv babot, a fűszereket, a paradicsomszószt, és az egészet kis lángon, fedő alatt főzzük 30-35 percig."", ""Ekkor tegyük bele a felkockázott pulykamell sonkát, főzzük még 6-8 percig, beletesszük a cukrot, a tejszínt, összeforraljuk. Ha megfőtt és ízre is finom, a legvégén beletesszük a vajat, egyet rottyan és kész. Forrón tartjuk."", ""Lobogó sós, kicsit olajos vízben kifőzzük előírás szerint a tésztát, leszűrjük."", ""Tálaljuk a babos-csicseris paradicsomszószt a tésztával, tálaláskor mozzarellával és a reszelt sajttal kínáljuk.""]"
nosalty,https://www.nosalty.hu/recept/pestos-kenyercsiga,Pestos kenyércsiga,"[""375 g Finomliszt finom"", ""1 tasak Instant élesztő"", ""200 ml Víz langyos"", ""75 ml Olívaolaj"", ""1 kk Só"", ""1 csipet Cukor"", ""3 ek Pesto piros vagy zöld"", ""1 ek Olívaolaj"", ""1 kávéskanál Só durva""]","[""A lisztet elkeverjük az élesztővel, cukorral és sóval."", ""Hozzáadjuk a vizet és az olívaolajat, sima tésztává gyúrjuk, letakarjuk és meleg helyen ½ órát kelesztjük."", ""A tésztát átgyúrjuk és felezzük."", ""Az egyik felet téglalap alakúra kinyújtjuk (kb. 50*25 cm-esre)"", ""Az másik felébe belegyúrjuk a pestot (ha szükséges, még egy kis lisztet adunk hozzá), és ugyancsak téglalap alakúra kinyújtjuk (50*25 cm-esre)."", ""A két téglalapot egymásra fektetjük (alul a fehér, rá a pestos lap) és a hosszú oldaláról feltekerjük."", ""A tekercset csigává formáljuk és sütőlapra tesszük."", ""A csigát bekenjük olívaolajjal és megszórjuk durva sóval."", ""Meleg helyen ½ órát pihentetjük."", ""200 fokra előmelegített sütőben 35 percig sütjük.""]"
nosalty,https://www.nosalty.hu/recept/epres-tapioka-puding,Epres tápiókapuding,"[""90 g Tápióka"", ""420 ml Tej"", ""70 g Cukor"", ""1 db Tojás"", ""1 kávéskanál Vanília kivonat"", ""2 ek Eperlekvár""]","[""A tápióka gyöngyöket kis tálba tesszük és a tej felével 3 órára félretesszük, hogy a gyöngyök meg tudják szívni magukat."", ""A tápiókát egy edénybe tesszük a maradék tejjel, a cukorral, a vaníliával, egy csipet sóval és a tojássárgájával."", ""Közepes lángon melegíteni kezdjük gyakori kevergetés mellett, hogy a tej oda ne kozmáljon."", ""Ha már bugyog a keverék (nem kell forralni), akkor lejjebb vesszük a hőt és további 10-15 percig főzzük. Időnként megkeverjük."", ""Levesszük a tűzről és 15 percet hagyjuk pihenni."", ""Egy evőkanál cukorral kemény habbá verjük a tojásfehérjét."", ""A tojáshabot óvatosan a tápiókához keverjük."", ""A tápióka felét elosztjuk 4 pohárba, egyenlő mennyiségben elosztjuk rajtuk a lekvárt és befedjük a maradék tápiókával.""]"
nosalty,https://www.nosalty.hu/recept/legegyszerubb-krumplikrokett,A legegyszerűbb krumplikrokett,"[""80 dkg Burgonya"", ""40 dkg Finomliszt"", ""1 ek Só"", ""7 dl Napraforgó olaj""]","[""A krumplit megpucoljuk, felkockázzuk, és sós vízben puhára főzzük."", ""Leszűrjük, áttörjük, megvárjuk, míg langyosra hűl, ha szükséges sózzuk."", ""Hozzáadjuk a lisztet, összekeverjük, és puha tésztává gyúrjuk."", ""Lisztezett deszkán másfél ujjnyi vastagságúra nyújtjuk, majd másfél ujjnyi csíkokat vágunk belőle. Kicsit meggyúrjuk, hogy henger alakú legyen, majd 5 cm-es darabokra vágjuk."", ""Az olajat serpenyőbe öntjük, felforrósítjuk. Pár perc alatt roppanósra, aranyszínűre sütjük a kroketteket, szűrőpapírra szedjük, és azonnal tálaljuk.""]"
nosalty,https://www.nosalty.hu/recept/tejfolos-fejtett-babfozelek,Tejfölös fejtettbab főzelék,"[""450 g Fejtett bab nekem most mirelit volt itthon"", ""3 db Babérlevél"", ""1 tk Tárkony"", ""1 db Vöröshagyma"", ""4 gerezd Fokhagyma"", ""1 tk Fekete bors"", ""1 ek Ecet"", ""1 ek Mangalica zsír nagy"", ""1 ek Napraforgó olaj"", ""3 evőkanál Finomliszt"", ""1 ek Fűszerpaprika csapott"", ""2 dl Tejföl"", ""0 ízlés szerint Só""]","[""A babot felöntjük annyi forró vízzel, hogy 1-2 ujjnyira ellepje, a babérlevéllel, sóval, és a tárkonnyal fedő alatt félpuhára főzzük."", ""Az olaj és zsír keverékén megfonnyasztjuk az apróra vágott hagymát, majd hozzáadjuk a lisztet. Egy kicsit megpirítjuk, majd a tűzhelyről félrehúzva a pirospaprikával elkeverjük."", ""A főzőléből 1 merőkanálnyit kiveszünk, majd a rántással elkeverjük, csak ezután tesszük a babhoz. Borsozzuk, a fokhagymanyomón áttört fokhagymával és az ecettel ízesítjük. Készre főzzük."", ""A legvégén a tejfölt belekeverjük.""]"
nosalty,https://www.nosalty.hu/recept/sajtos-rizsropogos,Sajtos rizsropogós,"[""17 dkg Rizs"", ""5 dkg Trappista sajt reszelve"", ""1 db Tojás"", ""3 púpozott ek Finomliszt"", ""1 közepes db Vöröshagyma"", ""3 gerezd Fokhagyma"", ""0 ízlés szerint Só"", ""3 csapott ek Finomliszt"", ""1 db Tojás"", ""3 ek Zsemlemorzsa""]","[""A rizst megfőzzük, majd lehűtjük. Hozzáadjuk a többi alapanyagot, a hagymákat és a sajtot reszelve. Golyókat formálunk, majd ellapítjuk. Lisztbe, tojásba, végül zsemlemorzsába mártjuk."", ""Meleg olajban kisütjük."", ""Önmagában vagy köretként fogyasztjuk. Jó étvágyat!""]"
nosalty,https://www.nosalty.hu/recept/hazi-feher-kenyer-hugi-konyhajabol,Házi fehér kenyér Hugi konyhájából,"[""150 dkg Finomliszt"", ""12 dl Víz"", ""4 ek Napraforgó olaj"", ""5 kávéskanál Só"", ""75 g Élesztő""]","[""A liszthez hozzáadjuk az olajat, a sót."", ""A vízhez hozzáadjuk az élesztőt, és várunk vele egy keveset, hogy az élesztő jól feloldodjon, majd ez is mehet a liszthez."", ""Jól megdagasztjuk."", ""30 percet pihentetjük, majd újra meggyúrjuk, és 2 kenyeret formálunk."", ""Késsel a tetejét bevágjuk, majd újra pihentetjük 30 percet."", ""250 °C-on sütjük 10 percig, majd lecsökkentjük a hőt 175°C-ra, és így is sütjük kb. 35 percig.""]"
nosalty,https://www.nosalty.hu/recept/joghurtos-brokkolipure,Joghurtos brokkolipüré,"[""500 g Brokkoli"", ""4 dl Tej vagy víz"", ""100 g Joghurt natúr"", ""0 teáskanál Só ételízesítő,""]","[""A brokkolit vágjuk ujjnyi darabkákra, ésa tejben vagy vízben főzzük meg (lehet az arányokkal is játszani)."", ""Ha már elfőtt a leve, vegyük le a tűzről, keverjük bele a joghurtot."", ""Botmixerrel pépesítsük.""]"
