Source,Target,Type,Id,Label,Weight
hexanal,marha tokahús és bőr,Undirected,183,,1
hexanal,juhtüdő,Undirected,184,,1
hexanal,juhgyomor,Undirected,185,,1
hexanal,gyümölcs,Undirected,186,,1
hexanal,sertéshátgerinc,Undirected,187,,1
hexanal,füstölt sonka,Undirected,188,,1
hexanal,kása,Undirected,189,,1
hexanal,olívaolaj,Undirected,190,,1
hexanal,sertésháló (faggyúhártya),Undirected,191,,1
hexanal,apró madarak,Undirected,192,,1
hexanal,kappan,Undirected,193,,1
hexanal,fiatal lúd,Undirected,194,,1
hexanal,fiatal kacsa,Undirected,195,,1
hexanal,liba- vagy kacsaaprólék,Undirected,196,,1
hexanal,meggy,Undirected,197,,1
hexanal,malactüdő,Undirected,198,,1
hexanal,sütnivaló hús,Undirected,199,,1
hexanal,fürjhús,Undirected,200,,1
hexanal,tyúktojás,Undirected,201,,1
hexanal,lúdtojás,Undirected,202,,1
hexanal,nyers tojás,Undirected,203,,1
hexanal,kövi csík,Undirected,204,,1
hexanal,juhhúsleves,Undirected,205,,1
hexanal,laboda,Undirected,206,,1
hexanal,tök,Undirected,207,,1
hexanal,birsalma,Undirected,208,,1
hexanal,zsemlekása,Undirected,209,,1
hexanal,zab,Undirected,210,,1
hexanal,keményítő,Undirected,211,,1
hexanal,csíkhal,Undirected,212,,1
hexanal,menyhal,Undirected,213,,1
hexanal,lenmagolaj,Undirected,214,,1
hexanal,salátalevél,Undirected,215,,1
hexanal,nagy lapu szára,Undirected,216,,1
hexanal,kerti saláta szára,Undirected,217,,1
hexanal,uborka,Undirected,218,,1
hexanal,saláta,Undirected,219,,1
hexanal,kendermag,Undirected,220,,1
hexanal,korpa,Undirected,221,,1
hexanal,köleskása,Undirected,222,,1
hexanal,növényi olaj,Undirected,223,,1
hexanal,viza,Undirected,224,,1
hexanal,lenolaj,Undirected,225,,1
hexanal,mák,Undirected,226,,1
hexanal,sertéssonka (sódar),Undirected,227,,1
hexanal,sódar (füstölt sertéssonka),Undirected,228,,1
hexanal,görögdinnyehéj,Undirected,229,,1
hexanal,dióbél,Undirected,230,,1
hexanal,olajmag,Undirected,231,,1
hexanal,mogyoró,Undirected,232,,1
hexanal,meggylé,Undirected,233,,1
hexanal,sertésfej,Undirected,234,,1
hexanal,sertésfül,Undirected,235,,1
hexanal,sertésbőr,Undirected,236,,1
hexanal,sóska,Undirected,237,,1
"(E,E)-2,4-decadienal",csirkehús,Undirected,238,,1
"(E,E)-2,4-decadienal",csirke,Undirected,239,,1
lúd,1-octen-3-ol,Undirected,240,,1
lúd,Törött lév,Undirected,241,,1
lúd,Lúd sülve,Undirected,242,,1
lúd,Cifra lév,Undirected,243,,1
1-octen-3-ol,marhahús,Undirected,244,,1
1-octen-3-ol,tehénhús,Undirected,245,,1
1-octen-3-ol,csuka,Undirected,246,,1
1-octen-3-ol,szárnyashús,Undirected,247,,1
1-octen-3-ol,vadhús,Undirected,248,,1
1-octen-3-ol,sertéshús,Undirected,249,,1
1-octen-3-ol,máj,Undirected,250,,1
1-octen-3-ol,szarvashús,Undirected,251,,1
1-octen-3-ol,őzhús,Undirected,252,,1
1-octen-3-ol,hal,Undirected,253,,1
1-octen-3-ol,kucsmagomba,Undirected,254,,1
1-octen-3-ol,liba,Undirected,255,,1
1-octen-3-ol,laskagomba,Undirected,256,,1
1-octen-3-ol,csiperke gomba,Undirected,257,,1
1-octen-3-ol,pisztráng,Undirected,258,,1
1-octen-3-ol,sült hal,Undirected,259,,1
1-octen-3-ol,fenyőgomba,Undirected,260,,1
1-octen-3-ol,viza,Undirected,261,,1
1-octen-3-ol,tokhal,Undirected,262,,1
szalonna,guaiacol,Undirected,263,,1
szalonna,4-methylguaiacol,Undirected,264,,1
szalonna,syringol,Undirected,265,,1
szalonna,phenol,Undirected,266,,1
szalonna,Töltött káposzta,Undirected,267,,1
szalonna,Káposztát közönséges módon,Undirected,268,,1
szalonna,Tejfeles káposzta,Undirected,269,,1
szalonna,Új káposzta szalonnával,Undirected,270,,1
szalonna,Savanyú lév,Undirected,271,,1
szalonna,Német lév,Undirected,272,,1
szalonna,Röstölt lév,Undirected,273,,1
szalonna,Répával,Undirected,274,,1
szalonna,Spékkel,Undirected,275,,1
szalonna,Egressel,Undirected,276,,1
szalonna,Tyúk tiszta borssal,Undirected,277,,1
szalonna,"Klödör, azaz gombóc",Undirected,278,,1
szalonna,"Szömörcsök-lév, azaz kucsmagomba-lé",Undirected,279,,1
szalonna,Tüdőkása,Undirected,280,,1
szalonna,Kocka-lév,Undirected,281,,1
szalonna,Töltött tyúk,Undirected,282,,1
szalonna,Tárkonnyal,Undirected,283,,1
szalonna,Kaporral,Undirected,284,,1
szalonna,"Zsufa, azaz savanyú mártás",Undirected,285,,1
szalonna,"Kutkusa, azaz juhbélből készült étel",Undirected,286,,1
szalonna,"Ecettel, hagymával",Undirected,287,,1
szalonna,Luther-lév,Undirected,288,,1
szalonna,Tejes borsó,Undirected,289,,1
szalonna,Téjfellel,Undirected,290,,1
szalonna,"Orjával, azaz a sertés hátgerincével",Undirected,291,,1
szalonna,Gombát fõzni,Undirected,292,,1
szalonna,Madár-lév,Undirected,293,,1
szalonna,Vadhús sülve,Undirected,294,,1
szalonna,Deszpot-lév,Undirected,295,,1
szalonna,Váradi lév,Undirected,296,,1
szalonna,Töltött malac,Undirected,297,,1
szalonna,Zsályás pecsenye,Undirected,298,,1
szalonna,Töltelék,Undirected,299,,1
szalonna,"Vetrece, azaz hosszúra vágott főtt marhahús",Undirected,300,,1
szalonna,Sült pástétom,Undirected,301,,1
szalonna,Nyers káposzta-saláta,Undirected,302,,1
szalonna,"Cicer, azaz bagoly-borsó",Undirected,303,,1
szalonna,"Tyúkfi, azaz csirke borkőben való",Undirected,304,,1
szalonna,Hagyma lével,Undirected,305,,1
guaiacol,rizs,Undirected,306,,1
guaiacol,kenyér,Undirected,307,,1
guaiacol,szalonnatepertő,Undirected,308,,1
guaiacol,szalonnazsír,Undirected,309,,1
guaiacol,füstölt szalonna vagy sonka,Undirected,310,,1
guaiacol,füstölt sonka,Undirected,311,,1
guaiacol,kolbász,Undirected,312,,1
guaiacol,sertéssonka (sódar),Undirected,313,,1
guaiacol,sódar (füstölt sertéssonka),Undirected,314,,1
4-methylguaiacol,füstölt szalonna vagy sonka,Undirected,315,,1
4-methylguaiacol,füstölt sonka,Undirected,316,,1
4-methylguaiacol,sertéssonka (sódar),Undirected,317,,1
4-methylguaiacol,sódar (füstölt sertéssonka),Undirected,318,,1
syringol,füstölt szalonna vagy sonka,Undirected,319,,1
syringol,füstölt sonka,Undirected,320,,1
syringol,sódar (füstölt sertéssonka),Undirected,321,,1
phenol,füstölt szalonna vagy sonka,Undirected,322,,1
phenol,füstölt sonka,Undirected,323,,1
phenol,sódar (füstölt sertéssonka),Undirected,324,,1
bors,piperine,Undirected,325,,1
bors,β-caryophyllene,Undirected,326,,1
bors,limonene,Undirected,327,,1
bors,α-pinene,Undirected,328,,1
bors,β-pinene,Undirected,329,,1
bors,sabinene,Undirected,330,,1
bors,myrcene,Undirected,331,,1
bors,α-phellandrene,Undirected,332,,1
bors,terpinolene,Undirected,333,,1
bors,Tehénhús árpa-kásával,Undirected,334,,1
bors,Tehénhús-lév,Undirected,335,,1
bors,"Kukrejttel, azaz borecetes, fenyőmagvas mártással",Undirected,336,,1
bors,Tehénhús tiszta borssal,Undirected,337,,1
bors,Kaszás lév,Undirected,338,,1
bors,Tormás téjfel,Undirected,339,,1
bors,Savanyú lév,Undirected,340,,1
bors,Német lév,Undirected,341,,1
bors,Röstölt lév,Undirected,342,,1
bors,Máj rántva,Undirected,343,,1
bors,Fokhagyma-lével,Undirected,344,,1
bors,Spékkel,Undirected,345,,1
bors,Egressel,Undirected,346,,1
bors,Tyúk tiszta borssal,Undirected,347,,1
bors,Fekete lév,Undirected,348,,1
bors,Másképpen ugyanez,Undirected,349,,1
bors,"Klödör, azaz gombóc",Undirected,350,,1
bors,Pástétom-lével,Undirected,351,,1
bors,"Berbécsfő-saláta, azaz juhfej-saláta",Undirected,352,,1
bors,"Szömörcsök-lév, azaz kucsmagomba-lé",Undirected,353,,1
bors,"Pikáda, azaz fűszerezett hússzelet",Undirected,354,,1
bors,Kenyér-kása,Undirected,355,,1
bors,Éles lév,Undirected,356,,1
bors,Tüdőkása,Undirected,357,,1
bors,"Tyúkfi, azaz csirke sóban",Undirected,358,,1
bors,Magyar lév,Undirected,359,,1
bors,Kocka-lév,Undirected,360,,1
bors,Ludas kása,Undirected,361,,1
bors,Töltött tyúk,Undirected,362,,1
bors,Tárkonnyal,Undirected,363,,1
bors,Balázs-lév,Undirected,364,,1
bors,"Zsufa, azaz savanyú mártás",Undirected,365,,1
bors,Vendég-lév,Undirected,366,,1
bors,Galuska,Undirected,367,,1
bors,Majoránna-lév,Undirected,368,,1
bors,Keresdi lév,Undirected,369,,1
bors,Nyelvet főzni,Undirected,370,,1
bors,Bárányhúst német módon,Undirected,371,,1
bors,Savanyú pecsenye,Undirected,372,,1
bors,Bárányfő hidegen,Undirected,373,,1
bors,Luther-lév,Undirected,374,,1
bors,"Lapos tüdő, máj",Undirected,375,,1
bors,Téjfellel,Undirected,376,,1
bors,Szürke lév,Undirected,377,,1
bors,Gombát fõzni,Undirected,378,,1
bors,Sült lév,Undirected,379,,1
bors,Karbonáta,Undirected,380,,1
bors,"Kappan-lév, azaz ivartalanított kakas-lé",Undirected,381,,1
bors,Madár-lév,Undirected,382,,1
bors,Vadhús sülve,Undirected,383,,1
bors,Gyümölcs-lév,Undirected,384,,1
bors,Szegfüves lév,Undirected,385,,1
bors,Bors-porral,Undirected,386,,1
bors,Deszpot-lév,Undirected,387,,1
bors,Mikó-lév,Undirected,388,,1
bors,"Leány-sarjával, azaz friss tormahajtással",Undirected,389,,1
bors,"Meggy-sása, azaz meggy-mártás, sült alá",Undirected,390,,1
bors,Töltött malac,Undirected,391,,1
bors,Bárányhús pirítva,Undirected,392,,1
bors,Zsályás pecsenye,Undirected,393,,1
bors,"Vetrece, azaz hosszúra vágott főtt marhahús",Undirected,394,,1
bors,Sült pástétom,Undirected,395,,1
bors,"Malozsa-lév, azaz mazsola-mártás sült alá",Undirected,396,,1
bors,"Töltött tyúkmony, azaz töltött tojás",Undirected,397,,1
bors,"Vajas klödör, azaz vajas gombóc",Undirected,398,,1
bors,"Spanior lév, azaz spanyol lé",Undirected,399,,1
bors,Zólnai lév,Undirected,400,,1
bors,Kenyér-torta,Undirected,401,,1
bors,Olasz kolbász,Undirected,402,,1
bors,"Tyúkmony-zsufa, azaz tojásos savanyú mártás",Undirected,403,,1
bors,Olasz káposzta,Undirected,404,,1
bors,"Tyúkmony-lév, azaz tojás-lé",Undirected,405,,1
bors,Német rántott,Undirected,406,,1
bors,Boros leves,Undirected,407,,1
bors,Rák töltve,Undirected,408,,1
bors,"Disilber, azaz tojásétel",Undirected,409,,1
bors,Szilvás béles,Undirected,410,,1
bors,Rák-sajt,Undirected,411,,1
bors,Zuppon,Undirected,412,,1
bors,Káposzta ikrával,Undirected,413,,1
bors,Ég-lév,Undirected,414,,1
bors,Gutta-lév,Undirected,415,,1
bors,"Szíjalt rák, azaz keskeny szeletre vágott rák",Undirected,416,,1
bors,Lengyel cibre,Undirected,417,,1
bors,"Körtvély fõve, azaz körte fõzve",Undirected,418,,1
bors,Ugorka-saláta,Undirected,419,,1
bors,Bot-lév,Undirected,420,,1
bors,Ikrát főzni,Undirected,421,,1
bors,Párolt rák,Undirected,422,,1
bors,Hal rizskásával,Undirected,423,,1
bors,Olaj-spék,Undirected,424,,1
bors,"Cicer, azaz bagoly-borsó",Undirected,425,,1
bors,"Lémonyával, azaz citrommal",Undirected,426,,1
bors,Törött lével hal,Undirected,427,,1
bors,Csukát csuka-lével,Undirected,428,,1
bors,Kozák-lével,Undirected,429,,1
bors,Zöld lével,Undirected,430,,1
bors,Borsos szilva,Undirected,431,,1
bors,Ecetes cibre,Undirected,432,,1
bors,Hal fekete lével,Undirected,433,,1
bors,Zuppon-lév,Undirected,434,,1
bors,Tiszta borssal,Undirected,435,,1
bors,Vizát viza-lével,Undirected,436,,1
bors,"Szömörcsök-gomba, azaz kucsmagomba főve",Undirected,437,,1
bors,Borított lév,Undirected,438,,1
bors,Hagyma rántva,Undirected,439,,1
bors,Káposzta-lév cibre,Undirected,440,,1
bors,Seres kenyér,Undirected,441,,1
bors,Olajos lév,Undirected,442,,1
bors,Rák tehénhús-lévben,Undirected,443,,1
bors,"Tyúkfi, azaz csirke cipóban való",Undirected,444,,1
bors,Báránybél édes téjjel,Undirected,445,,1
bors,Sódar gyümölcsös lével,Undirected,446,,1
bors,Sódar szegfüves lével,Undirected,447,,1
bors,Malac hidegen,Undirected,448,,1
bors,Tyúk-saláta,Undirected,449,,1
bors,Hagyma lével,Undirected,450,,1
bors,"Kolbász, lévre",Undirected,451,,1
bors,"Tyúkmony-saláta, azaz tojás-saláta",Undirected,452,,1
bors,"Szegfüves sása, azaz szegfüves mártás",Undirected,453,,1
bors,Dinnye-torta,Undirected,454,,1
bors,Zsemlye-galuska,Undirected,455,,1
piperine,fekete bors,Undirected,456,,1
β-caryophyllene,fekete bors,Undirected,457,,1
β-caryophyllene,sárgarépa,Undirected,458,,1
β-caryophyllene,szegfűszeg,Undirected,459,,1
β-caryophyllene,fahéj,Undirected,460,,1
limonene,fekete bors,Undirected,461,,1
limonene,petrezselyemlevél,Undirected,462,,1
limonene,citromlé,Undirected,463,,1
limonene,fenyőmag,Undirected,464,,1
limonene,petrezselyem,Undirected,465,,1
limonene,petrezselyemzöld,Undirected,466,,1
limonene,tárkony,Undirected,467,,1
limonene,zöld petrezselyem,Undirected,468,,1
limonene,citrom,Undirected,469,,1
limonene,kapor,Undirected,470,,1
limonene,sózott citrom,Undirected,471,,1
limonene,friss kapor,Undirected,472,,1
limonene,köményzöld,Undirected,473,,1
limonene,szerecsendió,Undirected,474,,1
limonene,citromhéj,Undirected,475,,1
limonene,zöld dió,Undirected,476,,1
limonene,reszelt citromhéj,Undirected,477,,1
α-pinene,fekete bors,Undirected,478,,1
α-pinene,zsálya,Undirected,479,,1
α-pinene,fenyőmag,Undirected,480,,1
α-pinene,petrezselyem,Undirected,481,,1
α-pinene,szerecsendió-virág,Undirected,482,,1
α-pinene,zsályalevél,Undirected,483,,1
α-pinene,szerecsendió,Undirected,484,,1
α-pinene,zöld dió,Undirected,485,,1
β-pinene,fekete bors,Undirected,486,,1
β-pinene,fenyőmag,Undirected,487,,1
β-pinene,köményzöld,Undirected,488,,1
sabinene,fekete bors,Undirected,489,,1
sabinene,szerecsendió-virág,Undirected,490,,1
myrcene,fekete bors,Undirected,491,,1
myrcene,fenyőmag,Undirected,492,,1
myrcene,sárgarépa,Undirected,493,,1
myrcene,sör,Undirected,494,,1
α-phellandrene,fekete bors,Undirected,495,,1
α-phellandrene,kapor,Undirected,496,,1
α-phellandrene,friss kapor,Undirected,497,,1
terpinolene,fekete bors,Undirected,498,,1
terpinolene,petrezselyemgyökér,Undirected,499,,1
terpinolene,sárgarépa,Undirected,500,,1
bor,ethanol,Undirected,501,,1
bor,isoamyl alcohol,Undirected,502,,1
bor,phenylethyl alcohol,Undirected,503,,1
bor,linalool,Undirected,504,,1
bor,ethyl tartrate,Undirected,505,,1
bor,Töltött káposzta,Undirected,506,,1
bor,Káposztát közönséges módon,Undirected,507,,1
bor,Tejfeles káposzta,Undirected,508,,1
bor,"Kukrejttel, azaz borecetes, fenyőmagvas mártással",Undirected,509,,1
bor,Savanyú lév,Undirected,510,,1
bor,Német lév,Undirected,511,,1
bor,Röstölt lév,Undirected,512,,1
bor,Tüdő rántva,Undirected,513,,1
bor,Pástétom-lével,Undirected,514,,1
bor,"Berbécsfő, azaz juhfej",Undirected,515,,1
bor,Éles lév,Undirected,516,,1
bor,Balázs-lév,Undirected,517,,1
bor,"Zsufa, azaz savanyú mártás",Undirected,518,,1
bor,Bárányfő rántva,Undirected,519,,1
bor,Vendég-lév,Undirected,520,,1
bor,Majoránna-lév,Undirected,521,,1
bor,Keresdi lév,Undirected,522,,1
bor,Savanyú pecsenye,Undirected,523,,1
bor,Szürke lév,Undirected,524,,1
bor,Mustos pecsenye,Undirected,525,,1
bor,Sült lév,Undirected,526,,1
bor,Karbonáta,Undirected,527,,1
bor,"Kappan-lév, azaz ivartalanított kakas-lé",Undirected,528,,1
bor,Madár-lév,Undirected,529,,1
bor,Citrom-lév,Undirected,530,,1
bor,Gyümölcs-lév,Undirected,531,,1
bor,Szegfüves lév,Undirected,532,,1
bor,Deszpot-lév,Undirected,533,,1
bor,"Leány-sarjával, azaz friss tormahajtással",Undirected,534,,1
bor,"Meggy-sása, azaz meggy-mártás, sült alá",Undirected,535,,1
bor,Cifra lév,Undirected,536,,1
bor,Váradi lév,Undirected,537,,1
bor,"Malozsa-lév, azaz mazsola-mártás sült alá",Undirected,538,,1
bor,Egész alma,Undirected,539,,1
bor,"Spanior lév, azaz spanyol lé",Undirected,540,,1
bor,Írós lév,Undirected,541,,1
bor,Kenyér-torta,Undirected,542,,1
bor,Hal téjfellel,Undirected,543,,1
bor,Olasz kolbász,Undirected,544,,1
bor,"Boros szérdék, azaz boros aludttej",Undirected,545,,1
bor,"Tyúkmony-zsufa, azaz tojásos savanyú mártás",Undirected,546,,1
bor,Boros leves,Undirected,547,,1
bor,Alma-fánk,Undirected,548,,1
bor,Rák-sajt,Undirected,549,,1
bor,"Mondola-sása, azaz mandula-mártás",Undirected,550,,1
bor,Káposzta vajjal,Undirected,551,,1
bor,Alma-lév,Undirected,552,,1
bor,Gutta-lév,Undirected,553,,1
bor,"Szíjalt rák, azaz keskeny szeletre vágott rák",Undirected,554,,1
bor,Lengyel cibre,Undirected,555,,1
bor,"Körtvély fõve, azaz körte fõzve",Undirected,556,,1
bor,Bot-lév,Undirected,557,,1
bor,Párolt rák,Undirected,558,,1
bor,Olaj-spék,Undirected,559,,1
bor,"Olajos domika, azaz túróból és kenyérbõl készített étel",Undirected,560,,1
bor,Hal fekete lével,Undirected,561,,1
bor,Vizát viza-lével,Undirected,562,,1
bor,Rák tehénhús-lévben,Undirected,563,,1
bor,Sódar gyümölcsös lével,Undirected,564,,1
bor,Sódar szegfüves lével,Undirected,565,,1
bor,Tyúk-saláta,Undirected,566,,1
bor,Hagyma lével,Undirected,567,,1
bor,"Más meggy-sása, azaz meggy-mártás",Undirected,568,,1
bor,"Szegfüves sása, azaz szegfüves mártás",Undirected,569,,1
bor,Õszibarack-torta,Undirected,570,,1
bor,Másféle öntött birsalma-liktáriom,Undirected,571,,1
bor,"Birsalma-liktáriom, melynek a leve fényes s megaluszik",Undirected,572,,1
bor,"Veres csipke-liktáriom, azaz csipkebogyó-befőtt",Undirected,573,,1
ethanol,aszúbor,Undirected,574,,1
ethanol,édes bor,Undirected,575,,1
ethanol,mézes bor,Undirected,576,,1
ethanol,vörösbor,Undirected,577,,1
ethanol,kenyértészta,Undirected,578,,1
isoamyl alcohol,sör,Undirected,579,,1
isoamyl alcohol,élesztő,Undirected,580,,1
isoamyl alcohol,kovász,Undirected,581,,1
phenylethyl alcohol,rózsavíz,Undirected,582,,1
phenylethyl alcohol,rózsaolaj,Undirected,583,,1
phenylethyl alcohol,élesztő,Undirected,584,,1
phenylethyl alcohol,vörösbor,Undirected,585,,1
phenylethyl alcohol,kovász,Undirected,586,,1
phenylethyl alcohol,vörös rózsaszirom,Undirected,587,,1
phenylethyl alcohol,rózsa,Undirected,588,,1
phenylethyl alcohol,rózsaszirom,Undirected,589,,1
linalool,gyömbér,Undirected,590,,1
linalool,zsálya,Undirected,591,,1
